Income year,Lodgment method,Gender,Taxable status,State / Territory,Age range,"Number of individuals
no.","Salary or wages 
no.","Salary or wages 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Taxable income or loss 
no.","Taxable income or loss 
$","Net tax 
no.","Net tax 
$"
2010–11,Agent,Female,Non Taxable,ACT,a. Under 18,505,325,1865443,500,2870486,5,316,5,187,65,9358,10,5457,40,7643,5,533,15,1736,105,25518,15,19210,0,0,0,0,0,0,0,0,5,3646,5,-3646,500,2844968,0,0
2010–11,Agent,Female,Non Taxable,ACT,b. 18 - 24,1135,1050,9120761,1130,12453151,70,70721,15,7129,325,50834,75,167476,240,64374,130,13678,225,36191,615,418542,5,6607,5,7596,15,-198913,15,-191317,55,665298,40,423133,50,225280,1115,12032572,0,0
2010–11,Agent,Female,Non Taxable,ACT,c. 25 - 29,625,480,4713086,615,6360044,50,54853,10,7669,140,24481,25,134434,145,60126,85,15662,205,38445,360,346727,5,38545,5,8056,65,-471337,70,-463281,65,1851202,60,1642283,65,167260,580,6203749,0,0
2010–11,Agent,Female,Non Taxable,ACT,d. 30 - 34,950,625,6279105,925,8029989,70,93283,20,2931,185,31153,15,56029,235,115693,140,32525,350,91186,555,611374,40,226748,30,97946,210,-1696540,240,-1598594,115,22635934,110,22400617,120,157969,795,8068328,0,0
2010–11,Agent,Female,Non Taxable,ACT,e. 35 - 39,1140,660,6934273,1100,8762237,75,117440,20,6213,160,28840,30,82575,260,108193,165,32946,410,158973,665,812827,45,203857,60,204867,270,-2670730,330,-2465863,155,3416268,160,2894165,170,332972,925,8772933,0,0
2010–11,Agent,Female,Non Taxable,ACT,f. 40 - 44,925,510,5612334,885,8223774,70,125421,15,5386,145,24184,20,22109,190,112778,165,49850,370,114738,570,763934,45,417217,65,251332,200,-2041029,260,-1789697,130,8809443,130,9101549,135,-460536,755,7766163,0,0
2010–11,Agent,Female,Non Taxable,ACT,g. 45 - 49,700,380,4685205,680,5700450,45,66746,10,10977,105,17256,5,4280,130,87748,120,45266,290,102535,425,573804,25,119845,55,318913,140,-2051797,195,-1732884,120,7745411,125,7486757,125,83146,580,5799303,0,0
2010–11,Agent,Female,Non Taxable,ACT,h. 50 - 54,625,335,4522763,610,5218605,50,76876,10,5622,100,19482,5,9173,135,132033,130,41395,290,104905,410,737383,30,90636,55,309343,155,-2653163,205,-2343820,95,3224205,90,2948626,100,147976,510,5220292,0,0
2010–11,Agent,Female,Non Taxable,ACT,i. 55 - 59,805,380,5524890,800,9326671,60,131171,15,27668,125,22166,5,7698,145,130498,175,57522,370,136588,515,893037,50,201018,60,312859,190,-2841654,245,-2528795,95,4836619,100,4957470,100,-316978,710,8958769,0,0
2010–11,Agent,Female,Non Taxable,ACT,j. 60 - 64,1235,395,5086916,1225,13788485,70,103673,15,23445,105,19663,5,9661,165,91516,360,146142,600,207291,805,1191498,100,493867,145,788997,160,-2075073,305,-1286076,105,6704618,105,6274814,105,364364,1120,13018717,0,0
2010–11,Agent,Female,Non Taxable,ACT,k. 65 - 69,1215,290,3109634,1215,20261084,40,90379,10,16590,60,11042,5,10665,110,94054,460,224765,640,208841,830,1265675,95,316014,155,1190017,75,-684163,230,505854,80,2129846,80,1868820,85,106269,1180,19205153,0,0
2010–11,Agent,Female,Non Taxable,ACT,l. 70 - 74,830,80,832658,830,15663757,15,13097,5,778,10,1465,0,0,25,14999,330,697042,480,174446,585,1448862,75,439498,80,620787,35,-378900,115,241887,35,387304,35,259369,35,50675,810,14155523,0,0
2010–11,Agent,Female,Non Taxable,ACT,m. 75 and over,1200,45,497870,1195,26823163,5,2504,0,0,5,185,0,0,5,2328,450,2316424,735,246766,870,2986108,120,974542,80,708524,10,-92226,90,616298,20,270339,20,259694,20,-76825,1185,23717422,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,a. Under 18,5,5,20518,5,20573,0,0,0,0,5,506,0,0,5,50,5,25,0,0,5,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19992,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,b. 18 - 24,205,195,1599135,205,1600766,5,749,5,1962,55,7726,0,0,30,5522,5,315,40,4995,85,23299,0,0,0,0,5,-81473,5,-81473,0,0,0,0,0,0,200,1655066,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,c. 25 - 29,300,245,2139478,290,1963095,5,5793,5,677,35,4712,5,10430,35,5906,10,1386,85,13141,115,47172,5,1543,5,11917,35,-285317,40,-273400,5,28817,5,18230,5,10587,255,2155795,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,d. 30 - 34,290,95,848135,275,-416862,0,0,5,125,20,3659,5,15797,25,7390,5,179,70,10915,110,52606,5,13348,10,21152,165,-1455634,180,-1434482,5,31708,5,23061,5,-24573,105,929980,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,e. 35 - 39,365,35,294474,340,-1880649,0,0,0,0,5,862,0,0,10,2977,10,12486,65,18297,135,70803,15,190087,45,167627,255,-2684348,300,-2516721,10,218799,10,194371,10,-1076,50,420075,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,f. 40 - 44,310,30,289287,300,-2209745,5,1201,0,0,5,777,5,324,10,7765,5,28841,65,26307,135,140968,5,319777,45,224327,225,-3180705,270,-2956378,5,11471,5,4014,5,-5918,40,378716,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,g. 45 - 49,260,20,189029,255,-1783985,5,2960,5,3836,5,694,0,0,5,2424,5,2563,60,22042,115,72114,10,305850,45,146530,185,-2512790,230,-2366260,5,22239,5,10855,5,11384,30,234888,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,h. 50 - 54,195,20,206362,190,-794129,0,0,0,0,5,915,0,0,5,1605,5,2355,50,11051,95,50771,5,46052,45,198558,120,-1342666,165,-1144108,5,1752,5,10459,5,-8707,30,284029,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,i. 55 - 59,135,20,180858,130,-222031,5,5396,0,0,5,585,5,410,5,1357,5,230,35,12659,55,48854,5,64790,30,128685,80,-694998,110,-566313,5,39295,5,20565,5,18730,25,260913,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,j. 60 - 64,80,5,16838,75,-218252,0,0,0,0,5,10,0,0,0,0,0,0,20,7262,35,16534,5,49786,25,120347,45,-446496,70,-326149,0,0,5,6451,5,-6451,10,90260,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,k. 65 - 69,45,5,14864,40,-29543,0,0,0,0,0,0,0,0,5,300,0,0,10,2899,15,5812,5,8088,10,41305,25,-145953,35,-104648,0,0,0,0,0,0,5,68259,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,l. 70 - 74,20,0,0,20,-9067,0,0,0,0,0,0,0,0,0,0,0,0,10,1548,10,6033,0,0,5,23516,10,-56120,20,-32604,0,0,0,0,0,0,5,23427,0,0
2010–11,Agent,Female,Non Taxable,Overseas or unknown,m. 75 and over,10,0,0,10,91747,0,0,0,0,0,0,0,0,0,0,5,250,5,557,5,4280,5,539,5,11366,5,-12648,5,-1282,0,0,0,0,0,0,5,88928,0,0
2010–11,Agent,Female,Non Taxable,NSW,a. Under 18,13620,9650,57063979,13500,81294015,70,62658,30,17885,2700,462396,260,280364,1620,418338,400,18803,605,66529,3920,1340062,265,271738,5,6214,5,-2482,5,3732,60,422739,40,141905,65,278674,13485,80006678,0,0
2010–11,Agent,Female,Non Taxable,NSW,b. 18 - 24,43795,40405,354190222,43385,468777155,1750,2199010,540,336667,12705,2541731,2600,6069569,9635,2951955,3410,377750,8520,1063754,20915,15713752,205,439945,70,314403,290,-2133821,365,-1819418,1750,34933378,1480,28600622,1775,5890421,43175,454342552,0,0
2010–11,Agent,Female,Non Taxable,NSW,c. 25 - 29,27230,20795,193195127,26140,276653537,1525,2237332,395,499584,6385,1340574,795,2856126,6160,2721241,2725,415941,7790,1250902,13040,11915900,240,766124,225,911065,1605,-11427318,1830,-10516253,2620,119461608,2415,107952141,2665,10052672,25095,269408310,0,0
2010–11,Agent,Female,Non Taxable,NSW,d. 30 - 34,31945,19680,191498289,29825,288669868,2095,2896281,470,360624,6865,1397843,660,1779492,7065,3173401,3830,723064,10395,2066560,16125,14488687,630,2681605,725,2704071,3595,-25206215,4320,-22502144,4305,149549942,4085,136208648,4375,10104663,27185,285150844,0,0
2010–11,Agent,Female,Non Taxable,NSW,e. 35 - 39,37900,19975,199803586,35030,325668324,2280,3439854,465,458947,7115,1438759,605,1185439,7520,3418144,4725,1095252,12415,9552123,19010,26693362,1065,5575680,1420,5911023,4890,-38751482,6310,-32840459,5595,264823368,5450,247357707,5715,11839211,31040,324545057,0,0
2010–11,Agent,Female,Non Taxable,NSW,f. 40 - 44,34930,17525,185117886,32235,305911036,2090,3798337,415,394807,6310,1302978,515,976879,6425,2925653,4705,1210742,11520,3741200,17415,22189733,1030,7283116,1720,8449413,4230,-39178369,5950,-30728956,5340,414819299,5215,409319069,5500,7638367,28355,300486822,0,0
2010–11,Agent,Female,Non Taxable,NSW,g. 45 - 49,29085,14520,167914780,27310,278478752,1825,3437761,360,340927,5460,1181776,390,749218,5170,2304912,4200,1297546,10215,3112559,15135,28114153,985,6271197,1710,9883045,3700,-40496766,5410,-30613721,4665,428713817,4580,417565597,4765,5559592,23780,255425367,0,0
2010–11,Agent,Female,Non Taxable,NSW,h. 50 - 54,25025,11840,143856936,24015,226489413,1605,3181731,295,324715,4500,956851,240,447408,4180,2227647,3925,1305804,9320,3231008,13435,26481344,1040,6929385,1975,11695546,3495,-44553722,5470,-32858176,4030,281261655,3950,270201066,4120,5824173,20680,216175791,0,0
2010–11,Agent,Female,Non Taxable,NSW,i. 55 - 59,27335,12250,152347137,26845,305820664,1745,3095760,315,483837,4735,999070,155,223177,4640,2211910,5510,1860068,11190,4183234,15725,25997107,1315,9452591,2745,15940978,3605,-38409121,6350,-22468143,3430,215303743,3360,205510491,3530,5680433,23775,296326372,0,0
2010–11,Agent,Female,Non Taxable,NSW,j. 60 - 64,33345,12295,148628180,32995,362804858,1545,2627743,320,331595,4185,827746,75,123017,4700,2006295,8475,3595509,15125,5223833,20105,33736209,2025,10801414,4275,27827034,3015,-28694923,7290,-867889,2940,205339581,2870,194282930,3020,6875549,29825,344471688,0,0
2010–11,Agent,Female,Non Taxable,NSW,k. 65 - 69,28225,7440,88964714,28085,434386222,830,1305853,190,220236,2190,429359,35,64759,2750,1285977,8390,4525006,13670,4371494,17435,25993786,2150,10018910,4140,33302567,1400,-12612071,5540,20690496,1860,78987149,1840,73701323,1945,2429561,26545,414605157,0,0
2010–11,Agent,Female,Non Taxable,NSW,l. 70 - 74,18340,2435,22858099,18280,305282740,205,349432,60,61607,465,87540,10,8125,755,396947,6230,3826632,9580,2937786,11755,14263160,1665,4708866,2530,21754829,460,-3889510,2990,17865319,920,69019633,885,68204774,955,-76550,17620,293100055,0,0
2010–11,Agent,Female,Non Taxable,NSW,m. 75 and over,29140,1280,11537495,29065,567958173,60,104658,20,17362,100,17502,5,508,235,181560,10420,9931946,17390,5655923,20140,22919336,2855,5681273,3315,30603461,340,-2118954,3655,28484507,705,31619131,710,33422905,750,-3192196,28585,543331746,0,0
2010–11,Agent,Female,Non Taxable,NT,a. Under 18,475,405,2887437,475,3408786,10,9755,0,0,170,25825,5,1239,90,18453,25,1561,40,5839,220,62727,5,1291,0,0,0,0,0,0,0,0,0,0,0,0,475,3346059,0,0
2010–11,Agent,Female,Non Taxable,NT,b. 18 - 24,1410,1340,13145009,1405,17442479,80,62963,20,5509,610,109677,40,76999,370,87133,105,11928,435,65730,895,423834,5,3724,0,0,20,-208987,20,-208987,25,804918,25,566826,30,167188,1405,17061244,0,0
2010–11,Agent,Female,Non Taxable,NT,c. 25 - 29,1120,995,10704181,1100,14189118,95,117921,10,6606,485,83375,25,100380,355,120611,120,17151,540,107617,795,567261,10,41640,10,36661,105,-884012,115,-847351,60,1481649,60,1148850,60,244996,1055,13723809,0,0
2010–11,Agent,Female,Non Taxable,NT,d. 30 - 34,1135,930,10269229,1110,12867026,95,154216,15,11585,460,83224,20,78062,345,119175,140,21912,525,125484,790,616570,15,94026,20,92237,210,-1763044,230,-1670807,120,2273288,110,1674614,120,550181,1005,13035240,0,0
2010–11,Agent,Female,Non Taxable,NT,e. 35 - 39,1100,880,10041987,1085,12783454,95,141144,10,19174,430,72238,25,59003,340,120688,140,22352,550,108228,790,623285,20,111606,40,149456,205,-1838570,245,-1689114,110,3485544,105,2825787,115,401574,985,12527899,0,0
2010–11,Agent,Female,Non Taxable,NT,f. 40 - 44,900,675,7886812,890,10744921,70,99926,10,4546,325,60171,20,38501,255,104713,120,29954,435,97653,620,477276,15,176221,40,159480,145,-1378363,180,-1218883,95,3172827,95,2583343,95,457139,820,10731176,0,0
2010–11,Agent,Female,Non Taxable,NT,g. 45 - 49,665,465,5659699,655,7381239,40,52029,10,6878,235,43138,10,12309,145,43485,75,16021,355,79886,465,331609,15,79479,40,197109,110,-1333794,150,-1136685,95,5642913,95,5081079,95,487210,580,7263985,0,0
2010–11,Agent,Female,Non Taxable,NT,h. 50 - 54,525,380,5020913,520,3676694,40,79485,5,8165,185,35268,10,29283,140,68811,65,16257,275,62495,370,392614,15,95409,25,177375,105,-1499432,130,-1322057,80,3776872,75,3377601,80,293845,465,5827432,0,0
2010–11,Agent,Female,Non Taxable,NT,i. 55 - 59,475,285,3751020,470,5791369,30,51497,5,1573,135,26742,5,13092,100,47526,75,28800,250,73709,330,490631,15,15407,55,323318,85,-987164,140,-663846,50,3054863,50,3048808,50,-53091,415,5897261,0,0
2010–11,Agent,Female,Non Taxable,NT,j. 60 - 64,450,225,2863540,440,5201025,30,39888,5,1400,100,16284,5,15210,90,40351,105,40377,245,76510,310,412705,20,137189,55,294552,75,-935667,130,-641115,45,1671947,40,1374450,45,257449,395,5068006,0,0
2010–11,Agent,Female,Non Taxable,NT,k. 65 - 69,330,145,1930621,330,5295174,20,30072,5,150,65,10971,5,9970,60,26261,105,45495,195,51385,235,305936,20,99553,45,314391,30,-556499,75,-242108,30,1680826,30,1438714,30,224140,305,5173633,0,0
