Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
* Blank,Female,"a. $18,200 or less",657682,600167,3297032702,17681,31150751.1,109,10543.82,30,2405.74,120,11964.08,15921,29900551.21,24,125782.92,2284,19049696,1944,2060257.26,5504,46178497,23,93528,182,973955,65610,583189392,76998,680780175,5429,29247374,6222,48975259,359548,642981427,83248,25155703,250934,429950963,250999,184303632,611914,3876890923,168,241821,115,94358,469,120123,131,241679,492,416852,889,1114833,7773,3491358,9145,18180986,9182,19810875,51867,67680282,115318,51505272,158048,259251309,96,1325709,276,3395128,22380,-160842199,113436,435232519,43582,49850205.36,8011,59540663,1254,27791673,14729,197493886,39173,155309064,1123,1543603.9,54260,678359637,57418,1740488028,50537,102422882,42033,36113040,37761,3430209.93,118014,2054530889,77866,801487083,50076,139336050,117988,1015467862,67965,430633755,50915,-332363768,119100,98269987,8221,24998572,6624,19241991,3569,66055265,7108,28650605,82775,3607794643,76548,3273553986,84646,194815457,327,456113.17,93,92485.76,599,36011,1836,533863.65,46,48249.27,65625,1141103834,5427,62803862,55,239130,337139,283051,223581627,24406,10636896.14,21519,6735482.59
* Blank,Female,"b. $18,201 to $37,000",347218,347218,8955845829,347057,520509919.8,118418,53109181.44,373,103303.09,117344,52775349.32,155285,255885516.3,81,209034.53,2341,49381173,1857,5291694,6449,105136343,20,135581,99,991525,18827,166537935,119766,1739787633,6535,76733770,29630,458203733,261538,1007966147,56781,44970432,141295,724495017,141136,310091422,347218,9477351510,335,510308,306,341562,933,254536,183,249645,986,1094089,1468,2450140,4206,1601062,12794,14590799,15592,25456717,84773,81591359,127330,50242222,180004,479224465,139,2704377,359,5273648,13717,192201611,131956,1787900656,49535,90460140.11,6205,122401218,390,5910742,3383,38139257,46744,255979106,17083,10974258.35,62750,764114375,45233,1310990220,63170,226452764,49281,73592552,46269,8495744.71,65419,1465271074,28274,264800267,23383,57009556,64940,609179890,51098,618085547,14655,-83796167,65880,534289380,8496,40799775,6298,29766692,15598,280248737,7462,17129635,74479,4124678107,71833,2616419461,74996,1481708329,44595,62923176.04,15094,15730266.68,55732,4807990.79,220494,87088982.05,1470,1547802.72,24519,400238723.1,2554,28618138,21,85208,228338,213254,187440128,13860,5923024.29,14212,3801779.55
* Blank,Female,"c. $37,001 to $80,000",186780,186780,9884848360,186718,1645498424,177534,183088914.6,1106,681933.82,176992,183090124.7,184252,1587023313,3313,10248757.7,2127,103026858,1922,19924640.72,2787,74050273,33,310050,63,1137676,2329,16969308,18398,178114656,5828,124376990,23567,777384141,146516,840734280,39142,59174331,85343,1076999661,85261,461227643,186780,10592252232,443,720330,507,675668,1176,351644,214,274488,1418,2228250,1752,4250380,3559,1611329,9717,16526613,14804,34550732,62300,73780770,77273,49145342,120494,677694890,177,3856633,628,10378709,11761,426901328,99096,3262554475,34208,189997901.8,3312,143228040,402,8888410,1630,22266214,33647,493776098,33339,90290184.78,44934,1269364514,29077,928545718,36738,250494307,30510,91770642,28804,17369371.75,47941,1399206928,24483,280328327,19629,57082716,47823,583973470,33906,582387270,14426,-104564866,48420,477822404,7650,36098831,3609,31796448,22409,470870955,7816,22056241,38566,4320386450,37882,2651721060,38967,1645364689,36612,271136230.6,24245,79133583.15,56111,21911002,151477,41952834.23,3109,14658016.46,10056,174381515.2,844,9300502,6,32522,147987,136371,119433692,11330,5348693.97,19324,7312635.43
* Blank,Female,"d. $80,001 to $180,000",80023,80023,9380949149,80018,2511700168,77357,180694967.6,4475,5878643.12,77315,186129801.7,79477,2575123255,2249,14668844.55,559,48727932,504,13253571,987,40069415,17,383363,37,1826105,348,2624058,1146,13586429,1864,50769294,3758,168687708,62991,507865396,20399,66923417,41993,1371367006,41968,587455288,80023,10087144785,130,282466,131,227750,187,49849,56,74056,424,904284,477,1538405,1787,1005483,4504,16819301,8671,34407583,27953,81060296,32221,38738448,56374,683908892,94,1855245,526,10743222,6458,506189333,53989,3951363831,23469,399919646.8,1087,100971162,225,5969936,841,13883791,19471,738657423,19408,210836096.8,25595,1741165947,14094,645756811,17935,189222397,16458,102885219,15189,21491403.88,24545,947216427,13554,214747187,11010,42231136,24488,401546424,15959,382721821,8833,-94020382,24848,288701439,4825,23168343,1672,23713553,18004,485396412,5489,23249352,14696,3296329213,14515,2002916885,14956,1280257904,13615,339415858.7,4574,20704222,20397,17833102,0,0,1671,29895820.46,2329,42920059.53,149,1578918,0,0,72345,63069,55112743,4782,2034447.34,46369,27823692.48
* Blank,Female,"e. $180,000 or more",28793,28793,12327525841,28793,4787726233,27806,238708500.3,1139,6019386.86,27784,244313170.6,28745,5065997182,355,3497013.55,64,11220214,51,3411276,273,27160939,1,102623,12,1457918,48,352369,210,2634384,558,25752800,816,48632939,23620,378438196,8756,86779380,17144,2198276791,17131,941652688,28793,12919070603,18,36435,17,24635,7,1639,13,31444,39,90958,48,185111,732,510888,1975,17253021,4141,39909067,12218,180350793,13697,38500419,23029,576799883,41,2276684,178,4519453,1801,233795696,20497,4340014407,11084,704945614.2,283,47473172,317,32643471,450,16051233,9701,2819500364,9685,1260630783,12353,5783056860,5468,471634728,8298,279010350,7808,204171975,7127,51159173.95,9959,592094391,5298,134388938,4735,26104910,9983,254563248,6325,244873795,3763,-67836500,10116,177037295,2403,31695608,711,21793551,8971,274243625,2856,25242183,5014,2607052833,4945,1470876866,5172,1109970430,4599,425424752.3,1180,8025831,4313,3874137.1,0,0,554,28161171.25,381,5938378.8,13,147317,0,0,27397,20747,19559616,247,86379.48,20437,18819694.4
* Blank,Male,"a. $18,200 or less",568446,518840,2655584505,21907,37122220.31,249,24278.75,40,2169.84,250,25825.97,19206,34906207.72,42,227246.44,1945,16718664,1701,2288937.59,5868,62726559,28,135743,556,2563752,55443,501813883,73714,690300306,3951,29274879,4489,47311422,274619,464895471,84299,26588696,212612,399104039,212583,170877370,532143,3617548669,202,539902,131,165601,486,180515,111,168844,604,1550643,979,2605505,7297,3765449,7439,33454470,8766,33892624,38404,63840835,118328,88427418,153929,370212918,168,4429395,353,3928971,27238,-209099421,100750,487449821,31024,42847539.85,8267,66753186,1606,63635518,13463,286050040,29990,191656773,1588,2473162.83,43682,964307148,55830,2185229426,36345,101039189,29044,28591026,25006,2765823.39,99855,2081111564,64115,855650518,40928,146550172,99573,1028807717,59616,404558312,40903,-354417303,100735,50141009,9812,38392868,5445,26925245,4772,78312522,12726,61376147,112370,9362982229,105166,9021681450,114497,65428374,913,1279191.93,118,135090.1,1149,73018,3293,1008078.98,56,52672.45,40332,835049010,3766,52575565,153,584104,256242,220561,179413545,19846,9730028.93,8962,1200624.13
* Blank,Male,"b. $18,201 to $37,000",391766,391766,10294168163,391520,628867935.3,157559,74254449.35,129,38591.5,156702,73901116.01,219165,381600750.4,36,97583.05,1814,39973603,1493,5229435.74,10234,197190073,33,285689,537,4241196,20018,170763204,86773,1133653033,6255,84511722,26003,541188780,248806,712336645,56975,43937833,131347,626381142,131180,268050508,391766,10979009873,349,730155,308,391912,857,242420,153,207618,974,1426225,1440,2998330,5076,1984391,11035,17256112,14320,30374539,70356,73211771,129297,63807368,189238,603664458,96,2664793,404,6029831,18046,276505421,125712,2121320601,32926,65201197.31,9806,213468593,659,13828937,3592,55524573,34774,239113812,14675,10667901.21,48158,824513160,46195,1326137721,47441,245835537,32840,56872244,30394,7489988.13,69457,1508754181,36573,376880868,24905,66320713,68836,626743889,49676,567239296,20201,-128394706,70015,438844590,12840,68630368,5816,48954721,23313,354177429,18831,52353817,147552,10693299420,143967,7333163877,148226,3351359986,100642,156775963.6,16686,20598005.37,104833,9573766,294956,119006828.4,1433,1468317.28,16318,296853917.1,2270,30082699,123,454839,216314,201741,165398217,14667,6288461.36,8376,970472.79
* Blank,Male,"c. $37,001 to $80,000",317238,317238,16945676832,317142,2845574745,298128,310938894,952,604649.81,297211,310454784.1,311126,2685719077,3648,11225951.48,2726,140701716,2463,28627834.56,6045,196989507,56,713347,650,7401828,3703,19695263,31102,230567299,8599,202178643,51392,2202798217,209190,649716494,48240,56499401,106814,972484101,106693,416377818,317238,18022867645,668,1510375,750,1359960,1737,528688,237,322114,2080,4525757,2562,8246894,5771,2545616,11372,26280572,16047,45698458,81458,82503790,116476,80774388,192640,1021503831,160,3820880,769,12867396,18749,735608887,120753,4579473870,28335,136249635.4,8586,412147805,985,22827702,2364,37374357,30726,479901503,30380,88787215.28,42099,1397405008,39876,1283269135,35160,370190900,26091,90387131,24837,25177048.42,66297,1646825281,43194,496161975,27755,80704414,66104,693046251,40088,561702561,26754,-184740281,67040,376962280,16074,100089365,5250,93968640,40149,671922888,30968,94612608,117900,15834459276,116873,10160172466,118394,5629833395,114112,940318787.3,52813,217750173.5,134567,55901139,258185,68570923.27,4402,17918254.15,10232,189497335.2,1170,14449522,68,260172,212034,195799,158619431,19200,9757741.42,16832,4012411.04
* Blank,Male,"d. $80,001 to $180,000",114460,114460,13136674740,114456,3489287421,111497,254745777.1,8343,11098755.47,110902,263770794.8,113243,3513721478,2331,15747589.81,1036,101987157,951,29575067.8,2362,129527343,65,1546789,244,7303741,600,3466766,1159,11457687,2778,98504303,6652,419435281,78819,392994560,22986,60425955,49601,1318411680,49536,564670727,114460,14117751140,349,1054901,279,702023,508,157128,109,176944,841,2032393,963,4123389,2952,1595646,5036,29881007,9219,45470162,30952,75935913,42713,56812625,79020,931913507,153,6160718,795,15556280,10097,857795279,60319,4533454179,18637,267725934.2,2871,299170684,454,11316686,927,17484385,18578,746817552,18481,212531970.2,24966,1883544438,19011,979491534,17547,429529584,14454,128303546,13990,60730688.6,32883,1080300741,22606,362390615,15134,59499904,32837,462973032,18286,354195653,14970,-158755872,33381,195439781,8444,69920535,2471,83136850,27145,642813632,16913,68892797,37442,10851394001,37053,7251858529,37739,3579434036,35716,931887352.4,7888,49349720.73,44396,40296780,0,0,2445,41333949.29,2439,50331099.78,188,2251781,4,5539,95201,84538,66796765,8528,3512851.7,51233,26187365.98
* Blank,Male,"e. $180,000 or more",42442,42442,18046394196,42442,7001795307,41153,348598816.6,2508,9557176.73,40493,353257636.8,41837,7216794607,355,3976794.7,237,50101441,218,18908088,868,166098309,33,1447425,99,11873504,71,368175,185,2159015,786,35898034,1291,137362885,31541,319334174,10167,84502528,21814,2209380494,21795,946588949,42442,19038628279,109,295131,90,336483,98,25748,33,55617,227,945972,247,1658951,1412,1049018,3016,46073376,5014,82777872,16201,181302820,20126,66007611,34916,959868004,189,21793576,315,7375096,2454,383031725,23497,5359220552,9374,419304713,894,197273409,706,80829361,694,49341954,9798,2341482995,9731,1030670131,13241,5039526035,9285,997639122,11049,1101413573,8989,465000962,9464,252494151.4,15075,868057081,10637,337407929,7910,54860665,15119,394795173,7566,260196923,7722,-179194211,15324,81002712,4511,82321653,1179,80431301,16969,497447224,8925,80116618,14137,12003484256,14055,6881163258,14409,5050384901,13434,2036067290,1757,17664109,10608,10047892,0,0,839,42649425.29,400,7817785.66,17,328507,1,6000.03,39642,29146,24979562,806,262786.86,28479,23261841.87
